narration_id,participant_id,video_id,narration_timestamp,start_timestamp,stop_timestamp,start_frame,stop_frame,narration,verb,verb_class,noun,noun_class,all_nouns,all_noun_classes
10,R0-P18,R0-P18_20,00:00:00.000,00:00:00.000,00:00:00.000,1002,1075,3. Clean the knife by wiping with a paper towel.,3. Clean the knife by wiping with a paper towel.,4,3. Clean the knife by wiping with a paper towel.,4,['3. Clean the knife by wiping with a paper towel.'],[4]
11,R0-P18,R0-P18_20,00:00:00.000,00:00:00.000,00:00:00.000,1076,1614,4. Use the knife to scoop jelly from the jar. Spread jelly over the nut butter.,4. Use the knife to scoop jelly from the jar. Spread jelly over the nut butter.,5,4. Use the knife to scoop jelly from the jar. Spread jelly over the nut butter.,5,['4. Use the knife to scoop jelly from the jar. Spread jelly over the nut butter.'],[5]
12,R0-P18,R0-P18_20,00:00:00.000,00:00:00.000,00:00:00.000,1615,1668,5. Clean the knife by wiping with a paper towel.,5. Clean the knife by wiping with a paper towel.,6,5. Clean the knife by wiping with a paper towel.,6,['5. Clean the knife by wiping with a paper towel.'],[6]
13,R0-P18,R0-P18_20,00:00:00.000,00:00:00.000,00:00:00.000,1669,1812,"6. Roll the tortilla from one end to the other into a log shape, about 1.5 inches thick. Roll it tight enough to prevent gaps, but not so tight that the filling leaks.","6. Roll the tortilla from one end to the other into a log shape, about 1.5 inches thick. Roll it tight enough to prevent gaps, but not so tight that the filling leaks.",7,"6. Roll the tortilla from one end to the other into a log shape, about 1.5 inches thick. Roll it tight enough to prevent gaps, but not so tight that the filling leaks.",7,"['6. Roll the tortilla from one end to the other into a log shape, about 1.5 inches thick. Roll it tight enough to prevent gaps, but not so tight that the filling leaks.']",[7]
14,R0-P18,R0-P18_20,00:00:00.000,00:00:00.000,00:00:00.000,1813,2141,7. Secure the rolled tortilla by inserting 5 toothpicks about 1 inch apart.,7. Secure the rolled tortilla by inserting 5 toothpicks about 1 inch apart.,8,7. Secure the rolled tortilla by inserting 5 toothpicks about 1 inch apart.,8,['7. Secure the rolled tortilla by inserting 5 toothpicks about 1 inch apart.'],[8]
15,R0-P18,R0-P18_20,00:00:00.000,00:00:00.000,00:00:00.000,2142,2382,"8. Trim the ends of the tortilla roll with the butter knife, leaving 1/2 inch margin between the last toothpick and the end of the roll. Discard ends.","8. Trim the ends of the tortilla roll with the butter knife, leaving 1/2 inch margin between the last toothpick and the end of the roll. Discard ends.",9,"8. Trim the ends of the tortilla roll with the butter knife, leaving 1/2 inch margin between the last toothpick and the end of the roll. Discard ends.",9,"['8. Trim the ends of the tortilla roll with the butter knife, leaving 1/2 inch margin between the last toothpick and the end of the roll. Discard ends.']",[9]
16,R0-P18,R0-P18_20,00:00:00.000,00:00:00.000,00:00:00.000,2383,2515,"9. Slide floss under the tortilla, perpendicular to the length of the roll. Place the floss halfway between two toothpicks.","9. Slide floss under the tortilla, perpendicular to the length of the roll. Place the floss halfway between two toothpicks.",10,"9. Slide floss under the tortilla, perpendicular to the length of the roll. Place the floss halfway between two toothpicks.",10,"['9. Slide floss under the tortilla, perpendicular to the length of the roll. Place the floss halfway between two toothpicks.']",[10]
17,R0-P18,R0-P18_20,00:00:00.000,00:00:00.000,00:00:00.000,2516,2639,"10. Cross the two ends of the floss over the top of the tortilla roll. Holding one end of the floss in each hand, pull the floss ends in opposite directions to slice.","10. Cross the two ends of the floss over the top of the tortilla roll. Holding one end of the floss in each hand, pull the floss ends in opposite directions to slice.",11,"10. Cross the two ends of the floss over the top of the tortilla roll. Holding one end of the floss in each hand, pull the floss ends in opposite directions to slice.",11,"['10. Cross the two ends of the floss over the top of the tortilla roll. Holding one end of the floss in each hand, pull the floss ends in opposite directions to slice.']",[11]
18,R0-P18,R0-P18_20,00:00:00.000,00:00:00.000,00:00:00.000,2640,3132,11. Continue slicing with floss to create 5 pinwheels.,11. Continue slicing with floss to create 5 pinwheels.,12,11. Continue slicing with floss to create 5 pinwheels.,12,['11. Continue slicing with floss to create 5 pinwheels.'],[12]
19,R0-P18,R0-P18_20,00:00:00.000,00:00:00.000,00:00:00.000,3133,3307,12. Place the pinwheels on a plate.,12. Place the pinwheels on a plate.,13,12. Place the pinwheels on a plate.,13,['12. Place the pinwheels on a plate.'],[13]
20,R0-P18,R0-P18_20,00:00:00.000,00:00:00.000,00:00:00.000,3308,3334,13. end.,13. end.,1,13. end.,1,['13. end.'],[1]
21,R0-P18,R0-P18_01,00:00:00.000,00:00:00.000,00:00:00.000,0,92,0. start.,0. start.,0,0. start.,0,['0. start.'],[0]
22,R0-P18,R0-P18_01,00:00:00.000,00:00:00.000,00:00:00.000,93,296,1. Place tortilla on cutting board.,1. Place tortilla on cutting board.,2,1. Place tortilla on cutting board.,2,['1. Place tortilla on cutting board.'],[2]
23,R0-P18,R0-P18_01,00:00:00.000,00:00:00.000,00:00:00.000,297,1851,"2. Use a butter knife to scoop nut butter from the jar. Spread nut butter onto tortilla, leaving 1/2 inch uncovered at the edges.","2. Use a butter knife to scoop nut butter from the jar. Spread nut butter onto tortilla, leaving 1/2 inch uncovered at the edges.",3,"2. Use a butter knife to scoop nut butter from the jar. Spread nut butter onto tortilla, leaving 1/2 inch uncovered at the edges.",3,"['2. Use a butter knife to scoop nut butter from the jar. Spread nut butter onto tortilla, leaving 1/2 inch uncovered at the edges.']",[3]
24,R0-P18,R0-P18_01,00:00:00.000,00:00:00.000,00:00:00.000,1852,2017,3. Clean the knife by wiping with a paper towel.,3. Clean the knife by wiping with a paper towel.,4,3. Clean the knife by wiping with a paper towel.,4,['3. Clean the knife by wiping with a paper towel.'],[4]
25,R0-P18,R0-P18_01,00:00:00.000,00:00:00.000,00:00:00.000,2018,3346,4. Use the knife to scoop jelly from the jar. Spread jelly over the nut butter.,4. Use the knife to scoop jelly from the jar. Spread jelly over the nut butter.,5,4. Use the knife to scoop jelly from the jar. Spread jelly over the nut butter.,5,['4. Use the knife to scoop jelly from the jar. Spread jelly over the nut butter.'],[5]
26,R0-P18,R0-P18_01,00:00:00.000,00:00:00.000,00:00:00.000,3347,3560,5. Clean the knife by wiping with a paper towel.,5. Clean the knife by wiping with a paper towel.,6,5. Clean the knife by wiping with a paper towel.,6,['5. Clean the knife by wiping with a paper towel.'],[6]
27,R0-P18,R0-P18_01,00:00:00.000,00:00:00.000,00:00:00.000,3561,3591,"6. Roll the tortilla from one end to the other into a log shape, about 1.5 inches thick. Roll it tight enough to prevent gaps, but not so tight that the filling leaks.","6. Roll the tortilla from one end to the other into a log shape, about 1.5 inches thick. Roll it tight enough to prevent gaps, but not so tight that the filling leaks.",7,"6. Roll the tortilla from one end to the other into a log shape, about 1.5 inches thick. Roll it tight enough to prevent gaps, but not so tight that the filling leaks.",7,"['6. Roll the tortilla from one end to the other into a log shape, about 1.5 inches thick. Roll it tight enough to prevent gaps, but not so tight that the filling leaks.']",[7]
28,R0-P18,R0-P18_01,00:00:00.000,00:00:00.000,00:00:00.000,3592,3622,5. Clean the knife by wiping with a paper towel.,5. Clean the knife by wiping with a paper towel.,6,5. Clean the knife by wiping with a paper towel.,6,['5. Clean the knife by wiping with a paper towel.'],[6]
29,R0-P18,R0-P18_01,00:00:00.000,00:00:00.000,00:00:00.000,3623,4180,"6. Roll the tortilla from one end to the other into a log shape, about 1.5 inches thick. Roll it tight enough to prevent gaps, but not so tight that the filling leaks.","6. Roll the tortilla from one end to the other into a log shape, about 1.5 inches thick. Roll it tight enough to prevent gaps, but not so tight that the filling leaks.",7,"6. Roll the tortilla from one end to the other into a log shape, about 1.5 inches thick. Roll it tight enough to prevent gaps, but not so tight that the filling leaks.",7,"['6. Roll the tortilla from one end to the other into a log shape, about 1.5 inches thick. Roll it tight enough to prevent gaps, but not so tight that the filling leaks.']",[7]
30,R0-P18,R0-P18_01,00:00:00.000,00:00:00.000,00:00:00.000,4181,4772,7. Secure the rolled tortilla by inserting 5 toothpicks about 1 inch apart.,7. Secure the rolled tortilla by inserting 5 toothpicks about 1 inch apart.,8,7. Secure the rolled tortilla by inserting 5 toothpicks about 1 inch apart.,8,['7. Secure the rolled tortilla by inserting 5 toothpicks about 1 inch apart.'],[8]
31,R0-P18,R0-P18_01,00:00:00.000,00:00:00.000,00:00:00.000,4773,5503,"8. Trim the ends of the tortilla roll with the butter knife, leaving 1/2 inch margin between the last toothpick and the end of the roll. Discard ends.","8. Trim the ends of the tortilla roll with the butter knife, leaving 1/2 inch margin between the last toothpick and the end of the roll. Discard ends.",9,"8. Trim the ends of the tortilla roll with the butter knife, leaving 1/2 inch margin between the last toothpick and the end of the roll. Discard ends.",9,"['8. Trim the ends of the tortilla roll with the butter knife, leaving 1/2 inch margin between the last toothpick and the end of the roll. Discard ends.']",[9]
32,R0-P18,R0-P18_01,00:00:00.000,00:00:00.000,00:00:00.000,5504,6404,"9. Slide floss under the tortilla, perpendicular to the length of the roll. Place the floss halfway between two toothpicks.","9. Slide floss under the tortilla, perpendicular to the length of the roll. Place the floss halfway between two toothpicks.",10,"9. Slide floss under the tortilla, perpendicular to the length of the roll. Place the floss halfway between two toothpicks.",10,"['9. Slide floss under the tortilla, perpendicular to the length of the roll. Place the floss halfway between two toothpicks.']",[10]
33,R0-P18,R0-P18_01,00:00:00.000,00:00:00.000,00:00:00.000,6405,6811,"10. Cross the two ends of the floss over the top of the tortilla roll. Holding one end of the floss in each hand, pull the floss ends in opposite directions to slice.","10. Cross the two ends of the floss over the top of the tortilla roll. Holding one end of the floss in each hand, pull the floss ends in opposite directions to slice.",11,"10. Cross the two ends of the floss over the top of the tortilla roll. Holding one end of the floss in each hand, pull the floss ends in opposite directions to slice.",11,"['10. Cross the two ends of the floss over the top of the tortilla roll. Holding one end of the floss in each hand, pull the floss ends in opposite directions to slice.']",[11]
34,R0-P18,R0-P18_01,00:00:00.000,00:00:00.000,00:00:00.000,6812,7939,11. Continue slicing with floss to create 5 pinwheels.,11. Continue slicing with floss to create 5 pinwheels.,12,11. Continue slicing with floss to create 5 pinwheels.,12,['11. Continue slicing with floss to create 5 pinwheels.'],[12]
35,R0-P18,R0-P18_01,00:00:00.000,00:00:00.000,00:00:00.000,7940,8346,12. Place the pinwheels on a plate.,12. Place the pinwheels on a plate.,13,12. Place the pinwheels on a plate.,13,['12. Place the pinwheels on a plate.'],[13]
36,R0-P18,R0-P18_01,00:00:00.000,00:00:00.000,00:00:00.000,8347,8496,13. end.,13. end.,1,13. end.,1,['13. end.'],[1]
37,R1-P10,R1-P10_08,00:00:00.000,00:00:00.000,00:00:00.000,0,270,0. start.,0. start.,0,0. start.,0,['0. start.'],[0]
38,R1-P10,R1-P10_08,00:00:00.000,00:00:00.000,00:00:00.000,271,473,1. Measure 12 ounces of cold water and transfer to a kettle. Boil the water.,1. Measure 12 ounces of cold water and transfer to a kettle. Boil the water.,14,1. Measure 12 ounces of cold water and transfer to a kettle. Boil the water.,14,['1. Measure 12 ounces of cold water and transfer to a kettle. Boil the water.'],[14]
39,R1-P10,R1-P10_08,00:00:00.000,00:00:00.000,00:00:00.000,474,1053,"3. Prepare the filter insert by folding the paper filter in half to create a semi-circle, and in half again to create a quarter-circle. Place the paper filter in the dripper and spread open to create a cone","3. Prepare the filter insert by folding the paper filter in half to create a semi-circle, and in half again to create a quarter-circle. Place the paper filter in the dripper and spread open to create a cone",16,"3. Prepare the filter insert by folding the paper filter in half to create a semi-circle, and in half again to create a quarter-circle. Place the paper filter in the dripper and spread open to create a cone",16,"['3. Prepare the filter insert by folding the paper filter in half to create a semi-circle, and in half again to create a quarter-circle. Place the paper filter in the dripper and spread open to create a cone']",[16]
40,R1-P10,R1-P10_08,00:00:00.000,00:00:00.000,00:00:00.000,1054,1110,"2. While the water is boiling, assemble the filter cone. Place the dripper on top of a coffee mug.","2. While the water is boiling, assemble the filter cone. Place the dripper on top of a coffee mug.",15,"2. While the water is boiling, assemble the filter cone. Place the dripper on top of a coffee mug.",15,"['2. While the water is boiling, assemble the filter cone. Place the dripper on top of a coffee mug.']",[15]
41,R1-P10,R1-P10_08,00:00:00.000,00:00:00.000,00:00:00.000,1111,5681,"4. Weigh the coffee beans and grind until the coffee grounds are the consistency of course sand, about 20 seconds. Transfer the grounds to the filter cone.","4. Weigh the coffee beans and grind until the coffee grounds are the consistency of course sand, about 20 seconds. Transfer the grounds to the filter cone.",17,"4. Weigh the coffee beans and grind until the coffee grounds are the consistency of course sand, about 20 seconds. Transfer the grounds to the filter cone.",17,"['4. Weigh the coffee beans and grind until the coffee grounds are the consistency of course sand, about 20 seconds. Transfer the grounds to the filter cone.']",[17]
42,R1-P10,R1-P10_08,00:00:00.000,00:00:00.000,00:00:00.000,5682,8686,"5. Once the water has boiled, check the temperature. The water should be between 195-205 degrees Fahrenheit or between 91-96 degrees Celsius. If the water is too hot, let it cool briefly.","5. Once the water has boiled, check the temperature. The water should be between 195-205 degrees Fahrenheit or between 91-96 degrees Celsius. If the water is too hot, let it cool briefly.",18,"5. Once the water has boiled, check the temperature. The water should be between 195-205 degrees Fahrenheit or between 91-96 degrees Celsius. If the water is too hot, let it cool briefly.",18,"['5. Once the water has boiled, check the temperature. The water should be between 195-205 degrees Fahrenheit or between 91-96 degrees Celsius. If the water is too hot, let it cool briefly.']",[18]
43,R1-P10,R1-P10_08,00:00:00.000,00:00:00.000,00:00:00.000,8687,9163,7. Slowly pour the rest of the water over the grounds in a circular motion. Do not overfill beyond the top of the paper filter.,7. Slowly pour the rest of the water over the grounds in a circular motion. Do not overfill beyond the top of the paper filter.,20,7. Slowly pour the rest of the water over the grounds in a circular motion. Do not overfill beyond the top of the paper filter.,20,['7. Slowly pour the rest of the water over the grounds in a circular motion. Do not overfill beyond the top of the paper filter.'],[20]
44,R1-P10,R1-P10_08,00:00:00.000,00:00:00.000,00:00:00.000,9164,10120,"6. Pour a small amount of water in the filter to wet the grounds. Wait for coffee to bloom, about 30 seconds. You will see small bubbles or foam on the coffee grounds during this step.","6. Pour a small amount of water in the filter to wet the grounds. Wait for coffee to bloom, about 30 seconds. You will see small bubbles or foam on the coffee grounds during this step.",19,"6. Pour a small amount of water in the filter to wet the grounds. Wait for coffee to bloom, about 30 seconds. You will see small bubbles or foam on the coffee grounds during this step.",19,"['6. Pour a small amount of water in the filter to wet the grounds. Wait for coffee to bloom, about 30 seconds. You will see small bubbles or foam on the coffee grounds during this step.']",[19]
45,R1-P10,R1-P10_08,00:00:00.000,00:00:00.000,00:00:00.000,10121,10658,7. Slowly pour the rest of the water over the grounds in a circular motion. Do not overfill beyond the top of the paper filter.,7. Slowly pour the rest of the water over the grounds in a circular motion. Do not overfill beyond the top of the paper filter.,20,7. Slowly pour the rest of the water over the grounds in a circular motion. Do not overfill beyond the top of the paper filter.,20,['7. Slowly pour the rest of the water over the grounds in a circular motion. Do not overfill beyond the top of the paper filter.'],[20]
46,R1-P10,R1-P10_08,00:00:00.000,00:00:00.000,00:00:00.000,10659,11612,8. Let the coffee drain completely into the mug before removing the dripper. Discard the paper filter and coffee grounds.,8. Let the coffee drain completely into the mug before removing the dripper. Discard the paper filter and coffee grounds.,21,8. Let the coffee drain completely into the mug before removing the dripper. Discard the paper filter and coffee grounds.,21,['8. Let the coffee drain completely into the mug before removing the dripper. Discard the paper filter and coffee grounds.'],[21]
47,R1-P00,R1-P00_09,00:00:00.000,00:00:00.000,00:00:00.000,0,31,0. start.,0. start.,0,0. start.,0,['0. start.'],[0]
48,R1-P00,R1-P00_09,00:00:00.000,00:00:00.000,00:00:00.000,32,933,1. Measure 12 ounces of cold water and transfer to a kettle. Boil the water.,1. Measure 12 ounces of cold water and transfer to a kettle. Boil the water.,14,1. Measure 12 ounces of cold water and transfer to a kettle. Boil the water.,14,['1. Measure 12 ounces of cold water and transfer to a kettle. Boil the water.'],[14]
49,R1-P00,R1-P00_09,00:00:00.000,00:00:00.000,00:00:00.000,934,1022,"2. While the water is boiling, assemble the filter cone. Place the dripper on top of a coffee mug.","2. While the water is boiling, assemble the filter cone. Place the dripper on top of a coffee mug.",15,"2. While the water is boiling, assemble the filter cone. Place the dripper on top of a coffee mug.",15,"['2. While the water is boiling, assemble the filter cone. Place the dripper on top of a coffee mug.']",[15]
50,R1-P00,R1-P00_09,00:00:00.000,00:00:00.000,00:00:00.000,1023,1951,"3. Prepare the filter insert by folding the paper filter in half to create a semi-circle, and in half again to create a quarter-circle. Place the paper filter in the dripper and spread open to create a cone","3. Prepare the filter insert by folding the paper filter in half to create a semi-circle, and in half again to create a quarter-circle. Place the paper filter in the dripper and spread open to create a cone",16,"3. Prepare the filter insert by folding the paper filter in half to create a semi-circle, and in half again to create a quarter-circle. Place the paper filter in the dripper and spread open to create a cone",16,"['3. Prepare the filter insert by folding the paper filter in half to create a semi-circle, and in half again to create a quarter-circle. Place the paper filter in the dripper and spread open to create a cone']",[16]
51,R1-P00,R1-P00_09,00:00:00.000,00:00:00.000,00:00:00.000,1952,4974,"4. Weigh the coffee beans and grind until the coffee grounds are the consistency of course sand, about 20 seconds. Transfer the grounds to the filter cone.","4. Weigh the coffee beans and grind until the coffee grounds are the consistency of course sand, about 20 seconds. Transfer the grounds to the filter cone.",17,"4. Weigh the coffee beans and grind until the coffee grounds are the consistency of course sand, about 20 seconds. Transfer the grounds to the filter cone.",17,"['4. Weigh the coffee beans and grind until the coffee grounds are the consistency of course sand, about 20 seconds. Transfer the grounds to the filter cone.']",[17]
52,R1-P00,R1-P00_09,00:00:00.000,00:00:00.000,00:00:00.000,4975,5996,"5. Once the water has boiled, check the temperature. The water should be between 195-205 degrees Fahrenheit or between 91-96 degrees Celsius. If the water is too hot, let it cool briefly.","5. Once the water has boiled, check the temperature. The water should be between 195-205 degrees Fahrenheit or between 91-96 degrees Celsius. If the water is too hot, let it cool briefly.",18,"5. Once the water has boiled, check the temperature. The water should be between 195-205 degrees Fahrenheit or between 91-96 degrees Celsius. If the water is too hot, let it cool briefly.",18,"['5. Once the water has boiled, check the temperature. The water should be between 195-205 degrees Fahrenheit or between 91-96 degrees Celsius. If the water is too hot, let it cool briefly.']",[18]
53,R1-P00,R1-P00_09,00:00:00.000,00:00:00.000,00:00:00.000,5997,7467,"6. Pour a small amount of water in the filter to wet the grounds. Wait for coffee to bloom, about 30 seconds. You will see small bubbles or foam on the coffee grounds during this step.","6. Pour a small amount of water in the filter to wet the grounds. Wait for coffee to bloom, about 30 seconds. You will see small bubbles or foam on the coffee grounds during this step.",19,"6. Pour a small amount of water in the filter to wet the grounds. Wait for coffee to bloom, about 30 seconds. You will see small bubbles or foam on the coffee grounds during this step.",19,"['6. Pour a small amount of water in the filter to wet the grounds. Wait for coffee to bloom, about 30 seconds. You will see small bubbles or foam on the coffee grounds during this step.']",[19]
54,R1-P00,R1-P00_09,00:00:00.000,00:00:00.000,00:00:00.000,7468,9752,7. Slowly pour the rest of the water over the grounds in a circular motion. Do not overfill beyond the top of the paper filter.,7. Slowly pour the rest of the water over the grounds in a circular motion. Do not overfill beyond the top of the paper filter.,20,7. Slowly pour the rest of the water over the grounds in a circular motion. Do not overfill beyond the top of the paper filter.,20,['7. Slowly pour the rest of the water over the grounds in a circular motion. Do not overfill beyond the top of the paper filter.'],[20]
55,R1-P00,R1-P00_09,00:00:00.000,00:00:00.000,00:00:00.000,9753,11885,8. Let the coffee drain completely into the mug before removing the dripper. Discard the paper filter and coffee grounds.,8. Let the coffee drain completely into the mug before removing the dripper. Discard the paper filter and coffee grounds.,21,8. Let the coffee drain completely into the mug before removing the dripper. Discard the paper filter and coffee grounds.,21,['8. Let the coffee drain completely into the mug before removing the dripper. Discard the paper filter and coffee grounds.'],[21]
56,R1-P00,R1-P00_09,00:00:00.000,00:00:00.000,00:00:00.000,11886,12073,9. end.,9. end.,1,9. end.,1,['9. end.'],[1]
57,R2-P00,R2-P00_00,00:00:00.000,00:00:00.000,00:00:00.000,0,315,0. start.,0. start.,0,0. start.,0,['0. start.'],[0]
58,R2-P00,R2-P00_00,00:00:00.000,00:00:00.000,00:00:00.000,316,831,1. Place the paper cupcake liner inside the mug. Set aside.,1. Place the paper cupcake liner inside the mug. Set aside.,22,1. Place the paper cupcake liner inside the mug. Set aside.,22,['1. Place the paper cupcake liner inside the mug. Set aside.'],[22]
59,R2-P00,R2-P00_00,00:00:00.000,00:00:00.000,00:00:00.000,832,4435,"2. Measure and add the flour, sugar, baking powder, and salt to the mixing bowl.","2. Measure and add the flour, sugar, baking powder, and salt to the mixing bowl.",23,"2. Measure and add the flour, sugar, baking powder, and salt to the mixing bowl.",23,"['2. Measure and add the flour, sugar, baking powder, and salt to the mixing bowl.']",[23]
60,R2-P00,R2-P00_00,00:00:00.000,00:00:00.000,00:00:00.000,4436,5293,3. Whisk to combine.,3. Whisk to combine.,24,3. Whisk to combine.,24,['3. Whisk to combine.'],[24]
61,R2-P00,R2-P00_00,00:00:00.000,00:00:00.000,00:00:00.000,5294,6850,"4. Measure and add the oil, water, and vanilla to the bowl.","4. Measure and add the oil, water, and vanilla to the bowl.",25,"4. Measure and add the oil, water, and vanilla to the bowl.",25,"['4. Measure and add the oil, water, and vanilla to the bowl.']",[25]
62,R2-P00,R2-P00_00,00:00:00.000,00:00:00.000,00:00:00.000,6851,7950,5. Whisk batter until no lumps remain.,5. Whisk batter until no lumps remain.,26,5. Whisk batter until no lumps remain.,26,['5. Whisk batter until no lumps remain.'],[26]
63,R2-P00,R2-P00_00,00:00:00.000,00:00:00.000,00:00:00.000,7951,9124,6. Pour batter into prepared mug.,6. Pour batter into prepared mug.,27,6. Pour batter into prepared mug.,27,['6. Pour batter into prepared mug.'],[27]
64,R2-P00,R2-P00_00,00:00:00.000,00:00:00.000,00:00:00.000,9125,11971,7. Microwave the mug and batter on high power for 60 seconds.,7. Microwave the mug and batter on high power for 60 seconds.,28,7. Microwave the mug and batter on high power for 60 seconds.,28,['7. Microwave the mug and batter on high power for 60 seconds.'],[28]
65,R2-P00,R2-P00_00,00:00:00.000,00:00:00.000,00:00:00.000,11972,13139,"8. Check the cake for doneness; it should be mostly dry and springy at the top. If the cake still looks wet, microwave for an additional 5 seconds.","8. Check the cake for doneness; it should be mostly dry and springy at the top. If the cake still looks wet, microwave for an additional 5 seconds.",29,"8. Check the cake for doneness; it should be mostly dry and springy at the top. If the cake still looks wet, microwave for an additional 5 seconds.",29,"['8. Check the cake for doneness; it should be mostly dry and springy at the top. If the cake still looks wet, microwave for an additional 5 seconds.']",[29]
